id,inventory_id,inspection_id,inspection_type,engine_starts_properly,engine_starts_properly_notes,engine_idles_properly,engine_idles_properly_notes,engine_noise,engine_noise_notes
33834839,725476,289793,auction,fail,hard to start ( suspect engine no operate properly),,,fail,rough noise & belt noise
33840448,724755,289886,auction,,,,,fail,ABNORMAL NOISE
33843740,725087,289871,auction,,,fail,Idling Unstable,fail,GOT BELTING AND HUMMING NOISE
33847857,726460,289961,auction,,,,,fail,ROUGH NOISE
33848864,724399,289988,auction,,,,,fail,GOT SQUEEKING NOISE ( CANNOT JUSTIFY WHAT NOISE )
33849143,724474,289994,auction,,,,,fail,ABNORMAL NOISE ( CANT JUSTIFIED WHAT NOISE )
33856836,724071,290073,auction,,,,,fail,ABNORMAL NOISE ( CANT JUSTIFIED WHAT NOISE )
33858460,725119,290089,auction,fail,Hard To Start,fail,Missfiring,fail,Knocking Noise
33858571,725119,290089,auction,fail,Hard To Start,fail,Missfiring,fail,Knocking Noise
33858662,725119,290089,auction,fail,Hard To Start,fail,Missfiring,fail,Knocking Noise
33858704,725119,290089,auction,fail,Hard To Start,fail,Missfiring,fail,Knocking Noise
33860210,727470,290025,auction,,,,,fail,ABNORMAL NOISE (CANOT JUSTIFY WHAT NOISE)
33860274,727470,290025,auction,,,,,fail,ABNORMAL NOISE (CANOT JUSTIFY WHAT NOISE)
33860335,727470,290025,auction,,,,,fail,ABNORMAL NOISE (CANOT JUSTIFY WHAT NOISE)
33860717,727567,290103,auction,,,,,fail,Belt Noise
33861709,726613,290099,auction,fail,Hard To Start ( NEED JUMPER ),,,fail,rough noise
33862025,727579,290080,auction,,,,,fail,HUMMING AND ENGINE DIESEL NOISE
33862318,725304,290124,auction,,,fail,Idling Unstable,,
33862534,726728,290123,auction,,,fail,Idling Unstable,fail,rough noise
33865010,727181,290161,auction,,,,,fail,GOT SQUEEKING NOISE ( CANNOT JUSTIFY WHAT NOISE )
33886644,727827,290333,auction,,,,,fail,GOT HUMMING AND BELTING NOISE
33886715,727827,290333,auction,,,,,fail,GOT HUMMING AND BELTING NOISE
33916767,719390,290606,auction,,,,,fail,SLIGHTLY KNOCKING NOISE
33916956,727214,290607,auction,,,,,fail,ABNORMAL NOISE
33917275,726305,290609,auction,fail,Hard To Start,fail,Missfiring,fail,Knocking Noise
33918759,726623,290625,auction,,,,,fail,ABNORMAL NOISE
33921612,725355,290675,auction,,,,,fail,ABNORMAL NOISE
33924022,716306,290700,auction,,,,,fail,Abnormal noise (cannot identify what noise)
33924378,727874,290707,auction,,,,,fail,ABNORMAL NOISE WHEN START
33926564,726678,290723,auction,,,,,fail,Knocking Noise
33931741,726694,290785,auction,,,,,fail,abnormal noise & ticking noise
33937400,727946,290845,auction,,,,,fail,"BELT NOISE, TICKING NOISE"
33939316,726163,290863,auction,,,,,fail,"BELT NOISE, TICKING NOISE, ROUGH NOISE"
33939966,728232,290881,auction,,,fail,UNSTABLE IDLING,,
33946039,727908,290893,auction,,,,,fail,HUMMING NOISE
33947001,728476,290951,auction,,,,,fail,ABNORMAL NOISE CANNOT IDENTIFY WHAT NOISE
33949954,726584,290967,auction,,,,,fail,SLIGHTLY KNOCKING NOISE
33949996,726584,290967,auction,,,,,fail,SLIGHTLY KNOCKING NOISE
33950446,727416,290974,auction,,,,,fail,"BELT NOISE, TICKING NOISE"
33951919,726573,290991,auction,,,,,fail,"BELT NOISE , TICKING NOISE"
33988133,727015,291323,auction,,,,,fail,ROUGH NOISES
33988886,728817,291338,auction,,,fail,Idling Unstable,fail,Knocking Noise
